,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,constellation
76276,3.8,233.7007926,10.53885916,15.54,-72.63,3.17,15.58005284,1991.25,Serpens
76297,2.8,233.78525156,-41.16669497,5.75,-16.05,-25.52,15.585683437333334,1991.25,Lupus
76333,3.91,233.88141398,-14.78955365,21.42,65.67,6.93,15.592094265333333,1991.25,Libra
76371,4.55,233.97193752,-44.95833688,7.51,-20.42,-21.48,15.598129168000002,1991.25,Lupus
76440,4.11,234.17994543,-66.31690469,15.09,24.51,-54.66,15.611996362000001,1991.25,Triangulum Australe
76470,3.6,234.25607748,-28.13507099,16.76,-13.26,-3.48,15.617071831999999,1991.25,Libra
76552,4.34,234.51384287,-42.56748493,14.19,-147.6,56.35,15.634256191333332,1991.25,Lupus
76600,3.66,234.66410153,-29.77768935,7.33,-22.1,-26.54,15.644273435333334,1991.25,Libra
76669,4.64,234.84451583,36.63582763,6.89,-15.29,-6.51,15.656301055333333,1991.25,Corona Borealis
76705,4.66,234.94156188,-34.41189273,13.32,5.65,-13.7,15.662770792,1991.25,Lupus
76742,4.97,235.07043893,-23.81805841,8.55,-15.62,-8.18,15.671362595333333,1991.25,Libra
76829,4.64,235.29798226,-44.66055926,57.09,-168.7,-265.69,15.686532150666666,1991.25,Lupus
76852,4.51,235.38788463,19.67050566,16.97,-59.86,-43.23,15.692525642,1991.25,Serpens
76880,4.75,235.48674445,-19.67857446,8.16,-33.21,-104.33,15.699116296666666,1991.25,Libra
76945,4.75,235.67098805,-34.71033325,8.24,-23.96,-30.43,15.711399203333334,1991.25,Lupus
76952,3.81,235.68599269,26.29551419,22.48,-112.52,50.7,15.712399512666668,1991.25,Corona Borealis
77055,4.29,236.01443312,77.79449901,8.68,20.07,-2.5,15.734295541333333,1991.25,Ursa Minor
77070,2.63,236.06664914,6.42551971,44.54,134.66,44.14,15.737776609333334,1991.25,Serpens
77233,3.65,236.54672877,15.42192602,21.31,68.54,-41.31,15.769781918,1991.25,Serpens
77257,4.42,236.61144121,7.35323973,85.08,-225.51,-68.52,15.774096080666668,1991.25,Serpens
77450,4.09,237.18503586,18.1417793,9.36,-51.78,-88.72,15.812335724,1991.25,Serpens
77512,4.59,237.39874182,26.06854936,19.71,-79.85,-63.78,15.826582788,1991.25,Corona Borealis
77516,3.54,237.40527375,-3.43014112,20.94,-98.07,-27.41,15.82701825,1991.25,Serpens
77622,3.71,237.70371344,4.4775798,46.39,127.98,61.87,15.846914229333333,1991.25,Serpens
77634,3.97,237.7397573,-33.62710488,15.86,-5.92,-24.91,15.849317153333335,1991.25,Lupus
77635,4.63,237.74480683,-25.75123489,6.25,-13.64,-24.91,15.849653788666666,1991.25,Scorpius
77655,4.79,237.80807231,35.65822638,32.13,-8.07,-347.41,15.853871487333333,1991.25,Corona Borealis
77661,4.74,237.81642977,20.97787548,8.26,-54.7,17.99,15.854428651333334,1991.25,Serpens
77760,4.6,238.16747684,42.44998796,63.08,438.97,629.52,15.877831789333333,1991.25,Hercules
77840,4.59,238.40303498,-25.32708018,7.52,-14.42,-25.4,15.893535665333333,1991.25,Scorpius
77853,4.13,238.45615438,-16.7296223,20.02,100.12,135.27,15.897076958666666,1991.25,Libra
77952,2.83,238.78670013,-63.42974973,81.24,-188.45,-401.92,15.919113342000001,1991.25,Triangulum Australe
