,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year,constellation
88128,4.67,270.01425282,16.75094481,4.97,-7.53,-10.61,18.000950188,1991.25,Hercules
88149,4.79,270.06582324,4.36864674,4.82,1.78,-12.95,18.004388216,1991.25,Ophiucus
88175,4.62,270.12050178,-3.69016112,43.11,154.17,-44.43,18.008033452,1991.25,Serpens
88192,3.93,270.16131466,2.93158759,2.3,0.41,-8.22,18.010754310666666,1991.25,Ophiucus
88267,4.26,270.37667886,21.59568814,6.93,7.55,38.79,18.025111924,1991.25,Hercules
88290,4.42,270.43828967,1.30510936,12.31,15.43,-13.61,18.029219311333335,1991.25,Ophiucus
88404,4.77,270.77046145,-8.18025785,19.22,15.11,-37.61,18.051364096666667,1991.25,Ophiucus
88567,4.66,271.2550938,-29.5800762,1.57,4.03,-4.61,18.08367292,1991.25,Sagittarius
88601,4.03,271.36338682,2.50243928,196.62,124.56,-962.66,18.09089245466667,1991.25,Ophiucus
88635,2.98,271.45218586,-30.42365007,33.94,-55.75,-181.53,18.096812390666667,1991.25,Sagittarius
88657,4.96,271.50795297,22.21889206,5.3,-13.33,-5.26,18.100530198,1991.25,Hercules
88714,3.65,271.65782832,-50.09145462,3.22,-8.43,-9.26,18.110521888,1991.25,Ara
88726,4.92,271.70785224,-43.42496169,22.79,9.49,-104.72,18.113856816000002,1991.25,Corona Australis
88765,4.64,271.82647643,8.73379361,13.71,9.79,30.24,18.121765095333334,1991.25,Ophiucus
88771,3.71,271.8375861,9.56365345,39.4,-61.6,79.71,18.12250574,1991.25,Ophiucus
88794,3.84,271.88562824,28.76247025,9.39,-0.17,7.51,18.125708549333336,1991.25,Hercules
88839,4.55,272.02067917,-28.45701627,9.38,24.77,-31.59,18.134711944666666,1991.25,Sagittarius
88866,4.33,272.14496186,-63.66804844,23.55,17.45,-207.64,18.142997457333333,1991.25,Pavo
88886,4.37,272.1895526,20.81457203,2.14,-2.71,-6.2,18.145970173333335,1991.25,Hercules
89112,4.52,272.80740093,-45.95432704,7.98,-16.28,-37.26,18.187160061999997,1991.25,Telescopium
89153,4.96,272.93053328,-23.70116777,13.35,7.82,-27.75,18.195368885333334,1991.25,Sagittarius
89172,4.96,272.97569523,31.4052884,5.42,-14.46,25.21,18.198379682,1991.25,Hercules
89341,3.84,273.44086963,-21.05883031,0.11,1.72,-1.39,18.229391308666667,1991.25,Sagittarius
89348,4.99,273.4723271,64.39719935,42.56,351.62,36.05,18.231488473333332,1991.25,Draco
89642,3.1,274.4072049,-36.76128103,21.87,-129.27,-166.61,18.29381366,1991.25,Sagittarius
89678,4.66,274.51328312,-27.04263452,4.66,4.48,-2.76,18.300885541333333,1991.25,Sagittarius
89826,4.33,274.96550503,36.06444696,13.71,-16.14,41.32,18.331033668666667,1991.25,Lyra
89861,4.92,275.0745983,21.9614409,7.66,17.51,-59.29,18.338306553333332,1991.25,Hercules
89908,4.22,275.18933831,71.33772734,11.28,-5.91,35.79,18.345955887333332,1991.25,Draco
89918,4.85,275.21692548,3.37714467,12.11,1.71,8.45,18.347795032,1991.25,Ophiucus
89931,2.72,275.24842337,-29.82803914,10.67,29.96,-26.38,18.349894891333335,1991.25,Sagittarius
89937,3.55,275.25974572,72.73369763,124.11,531.08,-351.59,18.350649714666666,1991.25,Draco
89962,3.23,275.32883578,-2.897122,52.81,-547.57,-700.72,18.35525571866667,1991.25,Serpens
90098,4.35,275.80675239,-61.49390506,7.76,0.53,1.7,18.387116826,1991.25,Pavo
90135,4.66,275.91480755,-8.93451038,17.08,51.89,52.29,18.394320503333333,1991.25,Scutum
90139,3.85,275.92402821,21.77034249,25.4,195.54,-242.92,18.394935214,1991.25,Hercules
90156,4.98,275.97770388,58.8005852,17.31,-37.64,62.08,18.398513591999997,1991.25,Draco
90185,1.79,276.04310967,-34.3843146,22.55,-39.61,-124.05,18.402873978,1991.25,Sagittarius
90289,4.81,276.33764809,-20.54160918,5.46,8.26,-28.72,18.42250987266667,1991.25,Sagittarius
90344,4.82,276.49578299,65.56354628,10.28,106.52,-27.07,18.433052199333336,1991.25,Draco
90422,3.49,276.74345947,-45.96832919,13.08,-16.68,-53.33,18.449563964666666,1991.25,Telescopium
90496,2.82,276.99278955,-25.42124732,42.2,-44.81,-186.29,18.46618597,1991.25,Sagittarius
90568,4.1,277.20723319,-49.07003097,25.6,137.9,-229.14,18.48048221266667,1991.25,Telescopium
90595,4.67,277.29938301,-14.56580499,11.19,3.07,-3.48,18.486625533999998,1991.25,Scutum
90797,4.63,277.84344394,-62.27819116,6.81,-0.96,-45.59,18.522896262666666,1991.25,Pavo
90830,4.92,277.93931691,-45.9147436,4.1,-3.77,-28.8,18.529287794000002,1991.25,Telescopium
90905,4.77,278.14384287,57.04561627,1.13,0.32,-7.09,18.542922858,1991.25,Draco
90982,4.62,278.37566714,-42.31245871,3.76,32.48,-21.03,18.558377809333333,1991.25,Corona Australis
91117,3.85,278.80182442,-8.24330819,18.72,-18.98,-314.63,18.58678829466667,1991.25,Scutum
91262,0.03,279.23410832,38.78299311,128.93,201.02,287.46,18.615607221333335,1991.25,Lyra
91726,4.7,280.56842553,-9.05255357,17.44,7.87,2.02,18.704561702,1991.25,Scutum
91792,4.01,280.75889095,-71.42772867,15.55,1.25,-158.29,18.71725939666667,1991.25,Pavo
91845,4.88,280.88016751,-8.27524299,6.24,21.29,11.58,18.725344500666665,1991.25,Scutum
91918,4.86,281.08066463,-35.64192109,7.23,1.21,-26.98,18.738710975333333,1991.25,Sagittarius
91919,4.67,281.08473883,39.66997686,20.1,10.55,60.23,18.738982588666666,1991.25,Lyra
91926,4.59,281.09489936,39.61259557,20.34,5.83,51.83,18.739659957333334,1991.25,Lyra
91971,4.34,281.19306613,37.60505025,21.23,29.26,26.57,18.746204408666664,1991.25,Lyra
92024,4.78,281.36190079,-64.87089771,34.21,32.67,-148.72,18.757460052666666,1991.25,Pavo
92041,3.17,281.41397083,-26.9907794,14.14,51.15,0.45,18.760931388666666,1991.25,Sagittarius
92043,4.19,281.4155466,20.54712356,52.37,-9.25,-335.65,18.76103644,1991.25,Hercules
92088,4.83,281.51861708,26.66207055,12.96,18.68,24.39,18.767907805333333,1991.25,Lyra
92161,4.34,281.75509317,18.18122968,35.17,83.74,119.01,18.783672878,1991.25,Hercules
92175,4.22,281.79365558,-4.74782871,4.73,-7.71,-15.89,18.786243705333334,1991.25,Scutum
92420,3.52,282.51997462,33.36267788,3.7,1.1,-4.46,18.83466497466667,1991.25,Lyra
92512,4.63,282.80002755,59.38828895,10.12,77.56,25.43,18.853335169999998,1991.25,Draco
92609,4.22,283.05431892,-62.18756062,1.8,-1.33,-13.53,18.870287928,1991.25,Pavo
92689,4.92,283.30642219,50.70828894,9.67,4.54,-27.75,18.887094812666664,1991.25,Draco
92761,4.86,283.54239695,-22.7448202,1.76,2.95,-5.7,18.902826463333334,1991.25,Sagittarius
92782,4.82,283.59902616,71.29708956,9.47,48.59,42.11,18.906601744,1991.25,Draco
92791,4.22,283.62620294,36.89860518,3.63,-6.73,3.26,18.908413529333334,1991.25,Lyra
92818,4.57,283.68700483,22.64507357,6.71,6.4,1.03,18.912466988666665,1991.25,Hercules
92855,2.05,283.81631956,-26.29659428,14.54,13.87,-52.65,18.92108797066667,1991.25,Sagittarius
92862,4.08,283.8336882,43.9458926,9.33,19.94,80.6,18.92224588,1991.25,Lyra
92946,4.62,284.05483475,4.20352956,24.73,37.69,26.98,18.936988983333332,1991.25,Serpens
92951,4.98,284.06088696,4.20205672,22.84,52.42,31.17,18.937392464000002,1991.25,Serpens
93015,4.4,284.23766942,-67.23353511,6.0,-7.83,16.65,18.94917796133333,1991.25,Pavo
93026,4.83,284.26514217,-5.84621426,15.77,60.77,-40.9,18.951009478,1991.25,Scutum
93085,3.52,284.43241556,-21.10662433,8.76,34.91,-12.33,18.96216103733333,1991.25,Sagittarius
93148,4.85,284.61564682,-52.93860748,6.14,11.53,-8.81,18.974376454666665,1991.25,Telescopium
93174,4.83,284.68114151,-37.10708855,33.43,-132.25,-110.45,18.978742767333333,1991.25,Corona Australis
93194,3.25,284.73593568,32.68955312,5.14,-2.76,1.77,18.982395712000002,1991.25,Lyra
93244,4.02,284.90578844,15.06847757,21.22,-52.68,-73.81,18.993719229333333,1991.25,Aquila
93279,4.94,285.00342257,32.14549051,2.12,6.13,9.75,19.000228171333333,1991.25,Lyra
93429,4.02,285.42017236,-5.73901832,21.95,-24.15,-39.73,19.028011490666664,1991.25,Aquila
93506,2.6,285.65301428,-29.88011429,36.61,-14.1,3.66,19.043534285333333,1991.25,Sagittarius
93542,4.74,285.77846922,-42.09499443,17.75,55.74,-45.33,19.051897947999997,1991.25,Corona Australis
93683,3.76,286.17055765,-21.74135451,23.49,76.26,-58.08,19.078037176666665,1991.25,Sagittarius
93747,2.99,286.3525518,13.86370983,39.18,-7.04,-95.31,19.09017012,1991.25,Aquila
93805,3.43,286.56229139,-4.88233456,26.05,-19.68,-90.37,19.10415275933333,1991.25,Aquila
93825,4.23,286.60433158,-37.06275714,55.89,96.93,-279.67,19.106955438666667,1991.25,Corona Australis
93864,3.32,286.73517629,-27.66981416,27.09,-50.79,-250.51,19.115678419333335,1991.25,Sagittarius
94005,4.57,287.08722077,-40.4966376,18.67,48.05,-26.84,19.139148051333333,1991.25,Corona Australis
94114,4.11,287.36782635,-37.90423953,25.15,85.73,-96.65,19.157855089999998,1991.25,Corona Australis
94141,2.88,287.44097404,-21.02352534,7.41,-1.17,-36.83,19.162731602666668,1991.25,Sagittarius
94160,4.1,287.50730185,-39.34070677,6.42,5.89,-36.78,19.167153456666664,1991.25,Corona Australis
94376,3.07,288.13814581,67.66131695,32.54,94.49,92.3,19.209209720666667,1991.25,Draco
94481,4.43,288.43953645,39.14596968,3.13,-1.59,-0.61,19.22930243,1991.25,Lyra
94643,4.86,288.88498822,-25.25660677,9.89,47.56,-31.16,19.25899921466667,1991.25,Sagittarius
94648,4.45,288.8887238,73.35521457,21.73,-116.6,104.25,19.259248253333332,1991.25,Draco
94703,4.76,289.05433156,21.39044277,3.58,0.73,-6.12,19.270288770666664,1991.25,Vulpecula
94713,4.35,289.09206426,38.13372778,4.24,-0.49,1.23,19.272804284,1991.25,Lyra
94779,3.8,289.27545794,53.36816064,26.48,60.22,122.93,19.285030529333334,1991.25,Cygnus
94820,4.88,289.40868994,-18.95288215,6.09,-10.05,-10.64,19.293912662666667,1991.25,Sagittarius
95066,4.98,290.13682588,-5.41587489,21.17,113.42,44.83,19.342455058666665,1991.25,Aquila
95081,4.6,290.16696656,65.7144303,14.52,14.09,41.61,19.344464437333333,1991.25,Draco
95168,3.92,290.41823037,-17.84725155,26.79,-26.95,22.24,19.361215358,1991.25,Sagittarius
95176,4.52,290.43175842,-15.95500233,1.95,1.79,-6.27,19.362117228,1991.25,Sagittarius
95241,3.96,290.65952718,-44.45891013,8.62,7.31,-22.43,19.377301812,1991.25,Sagittarius
95294,4.27,290.8044192,-44.79964788,23.52,92.78,-53.73,19.386961279999998,1991.25,Sagittarius
95347,3.96,290.97146411,-40.61564629,19.2,32.67,-120.81,19.398097607333334,1991.25,Sagittarius
95372,4.99,291.03154901,29.6213112,4.21,10.57,10.85,19.402103267333334,1991.25,Cygnus
95501,3.36,291.37396941,3.11457923,65.05,253.06,80.67,19.424931293999997,1991.25,Aquila
95585,4.64,291.62954029,0.33857566,0.28,-0.86,-2.3,19.441969352666668,1991.25,Aquila
95771,4.44,292.17671261,24.66516482,11.0,-126.45,-106.99,19.478447507333332,1991.25,Vulpecula
95853,3.76,292.42641389,51.72946747,26.63,20.92,128.12,19.49509425933333,1991.25,Cygnus
95947,3.05,292.68035529,27.9596948,8.46,-7.09,-5.63,19.512023686000003,1991.25,Cygnus
96052,4.74,292.94300436,34.45297707,5.2,1.06,-3.58,19.529533624,1991.25,Cygnus
96100,4.67,293.08577692,69.66540172,173.41,598.43,-1738.81,19.539051794666666,1991.25,Draco
96229,4.45,293.52178228,7.37931918,29.5,212.76,-155.39,19.56811881866667,1991.25,Aquila
96341,4.88,293.80414074,-48.09911061,8.19,-7.04,-37.43,19.586942716,1991.25,Telescopium
96441,4.49,294.11059344,50.22046347,53.78,-8.15,262.98,19.607372896,1991.25,Cygnus
96465,4.59,294.17662107,-24.88356664,17.24,68.7,-23.19,19.611774738,1991.25,Sagittarius
96468,4.36,294.18031892,-1.28655047,10.61,1.89,-20.75,19.612021261333332,1991.25,Aquila
96483,4.93,294.2227024,-7.02747069,2.24,1.29,-2.69,19.614846826666668,1991.25,Aquila
96683,4.68,294.84418456,30.1532335,13.0,1.95,36.07,19.656278970666666,1991.25,Cygnus
96757,4.39,295.02409394,18.01393839,6.89,15.09,-19.72,19.668272929333334,1991.25,Sagitta
96837,4.39,295.26222378,17.47612356,6.99,9.06,-33.9,19.684148252,1991.25,Sagitta
97118,4.89,296.06896508,37.35426967,11.7,72.58,35.14,19.737931005333333,1991.25,Cygnus
97165,2.86,296.24350878,45.13069195,19.07,43.22,48.44,19.749567252000002,1991.25,Cygnus
97278,2.72,296.56487567,10.61326869,7.08,15.72,-3.08,19.770991711333334,1991.25,Aquila
97290,4.87,296.59091351,-19.76089482,15.92,-128.89,-89.81,19.772727567333334,1991.25,Sagittarius
97365,3.68,296.84693842,18.53425912,7.28,-4.58,11.1,19.789795894666668,1991.25,Sagitta
97433,3.84,297.04255658,70.26783533,22.4,80.18,39.02,19.80283710533333,1991.25,Draco
97649,0.76,297.6945086,8.86738491,194.44,536.82,385.54,19.846300573333334,1991.25,Aquila
97679,4.9,297.76705681,22.61008676,5.27,23.35,-16.65,19.851137120666667,1991.25,Vulpecula
97804,3.87,298.11818257,1.00567827,2.78,6.94,-7.3,19.874545504666667,1991.25,Aquila
97886,4.57,298.36533677,24.07952568,9.08,22.78,36.29,19.891022451333335,1991.25,Vulpecula
97938,4.71,298.56175736,8.46165027,15.96,101.43,-81.28,19.904117157333335,1991.25,Aquila
98032,4.12,298.81532954,-41.8684135,17.24,23.37,51.6,19.92102196933333,1991.25,Sagittarius
98036,3.71,298.82819233,6.40793334,72.95,46.35,-481.32,19.921879488666665,1991.25,Aquila
98055,4.91,298.90759282,52.43902327,11.3,-36.62,-31.02,19.927172854666665,1991.25,Cygnus
98066,4.7,298.95927101,-26.29968718,42.03,203.96,74.4,19.930618067333334,1991.25,Sagittarius
98068,4.95,298.96567172,38.48670392,2.71,1.46,0.6,19.931044781333334,1991.25,Cygnus
98073,4.98,298.98078459,58.84601982,3.55,-9.0,-20.86,19.932052306,1991.25,Cygnus
98110,3.89,299.07665069,35.08349079,23.4,-34.0,-27.6,19.938443379333332,1991.25,Cygnus
98162,4.54,299.23677038,-27.1698625,2.7,9.6,-14.95,19.949118025333334,1991.25,Sagittarius
98337,3.51,299.68911516,19.49209287,11.9,64.37,22.58,19.979274343999997,1991.25,Sagitta
98353,4.84,299.7382347,-26.19582739,9.58,34.5,24.74,19.98254898,1991.25,Sagittarius
98412,4.37,299.93405965,-35.27624433,5.28,6.02,-25.15,19.995603976666665,1991.25,Sagittarius
98495,3.97,300.14747226,-72.91018443,30.73,80.54,-131.34,20.009831484,1991.25,Pavo
98543,4.66,300.27504217,27.75356392,14.67,57.99,3.76,20.018336144666666,1991.25,Vulpecula
98608,4.95,300.43634274,-59.37582804,7.52,19.73,-26.89,20.029089516,1991.25,Pavo
98688,4.43,300.66441367,-27.70987972,7.28,32.28,14.35,20.044294244666666,1991.25,Sagittarius
98702,4.51,300.7043634,67.87344872,8.02,16.43,47.8,20.04695756,1991.25,Draco
98761,4.77,300.88921406,-37.94049103,8.05,64.71,-85.44,20.05928093733333,1991.25,Sagittarius
98842,4.99,301.08151239,-32.05626941,10.05,43.01,-10.78,20.072100826,1991.25,Sagittarius
99120,4.93,301.84653576,-52.88080972,2.6,-12.72,6.88,20.123102384,1991.25,Telescopium
99240,3.55,302.17441713,-66.17932101,163.73,1210.29,-1130.34,20.144961142,1991.25,Pavo
99255,4.38,302.22215174,77.71136178,9.97,11.11,23.72,20.148143449333336,1991.25,Cepheus
99303,4.93,302.35673642,36.83959003,3.79,3.15,12.96,20.157115761333333,1991.25,Cygnus
99473,3.24,302.82610327,-0.82147569,11.36,35.48,6.05,20.188406884666666,1991.25,Aquila
99639,4.8,303.32517496,46.81567038,4.55,13.39,1.93,20.22167833066667,1991.25,Cygnus
99655,4.28,303.34917142,56.56752223,21.41,60.85,82.26,20.223278094666668,1991.25,Cygnus
99675,3.8,303.40792782,46.74132417,2.41,4.2,1.87,20.227195188,1991.25,Cygnus
99742,4.94,303.56910667,15.19746767,21.24,55.69,57.98,20.237940444666666,1991.25,Aquila
99770,4.93,303.63326032,36.8061354,24.37,69.22,68.67,20.242217354666664,1991.25,Cygnus
99824,4.79,303.81621226,25.59196924,2.72,6.9,-5.02,20.254414150666666,1991.25,Vulpecula
99848,3.96,303.8679927,47.7142053,2.94,3.88,1.2,20.25786618,1991.25,Cygnus
99874,4.5,303.94232258,27.8142285,9.94,-34.37,5.77,20.26282150533333,1991.25,Vulpecula
100027,4.3,304.41190045,-12.50821403,4.75,22.24,0.75,20.29412669666667,1991.25,Capricornus
100044,4.77,304.44668519,38.0329471,0.52,-3.53,-6.88,20.29644567933333,1991.25,Cygnus
100064,3.58,304.5134103,-12.54485877,30.01,61.78,2.85,20.300894019999998,1991.25,Capricornus
100310,4.77,305.16586145,-12.75904403,11.98,15.71,-14.63,20.344390763333333,1991.25,Capricornus
100345,3.05,305.25269347,-14.78140119,9.48,48.42,14.0,20.350179564666668,1991.25,Capricornus
100453,2.23,305.55708346,40.2566815,2.14,2.43,-0.93,20.370472230666667,1991.25,Cygnus
100587,4.43,305.96498335,32.19018607,12.77,35.71,-5.81,20.397665556666666,1991.25,Cygnus
100751,1.94,306.41187347,-56.73488071,17.8,7.71,-86.15,20.427458231333333,1991.25,Pavo
101027,4.77,307.21509857,-17.81366828,33.04,-15.79,-7.66,20.481006571333335,1991.25,Capricornus
101076,4.01,307.348879,30.36855661,4.3,6.87,-0.64,20.489925266666667,1991.25,Cygnus
101093,4.21,307.39511383,62.99413722,24.04,45.0,-13.31,20.493007588666668,1991.25,Cepheus
101101,4.91,307.41232775,-2.8854763,17.08,71.88,-22.39,20.49415518333333,1991.25,Aquila
101138,4.94,307.51471567,48.95155039,3.75,10.01,7.64,20.500981044666666,1991.25,Cygnus
101421,4.03,308.30318657,11.30333217,9.09,10.75,-28.54,20.553545771333333,1991.25,Delphinus
101474,4.61,308.47578431,35.25086482,3.51,-2.26,-5.35,20.565052287333334,1991.25,Cygnus
101589,4.64,308.82711738,14.67418482,14.36,45.08,11.71,20.588474492,1991.25,Delphinus
101612,4.75,308.89486744,-60.58129819,36.27,70.15,-185.58,20.592991162666667,1991.25,Pavo
101692,4.91,309.18177937,-2.54991814,1.48,9.09,-16.05,20.612118624666667,1991.25,Aquila
101769,3.64,309.38695734,14.59520289,33.49,118.28,-47.65,20.625797155999997,1991.25,Delphinus
101772,3.11,309.39162365,-47.29166239,32.21,49.2,66.07,20.62610824333333,1991.25,Indus
101773,4.86,309.39683225,-61.52974415,16.73,59.15,-71.7,20.626455483333334,1991.25,Pavo
101847,4.31,309.58447294,-1.10507951,8.5,15.66,-17.01,20.63896486266667,1991.25,Aquila
101867,4.81,309.63038481,21.20117964,15.27,74.38,-2.48,20.642025654,1991.25,Vulpecula
101958,3.77,309.90939395,15.9120527,13.55,54.14,7.91,20.66062626333333,1991.25,Delphinus
102098,1.25,310.3579727,45.28033423,1.01,1.56,1.55,20.690531513333333,1991.25,Cygnus
102281,4.43,310.86477381,15.07468224,16.03,-19.61,-41.74,20.724318254,1991.25,Delphinus
102333,4.51,311.00911122,-51.92084051,41.38,155.49,-53.64,20.733940748000002,1991.25,Indus
102388,4.92,311.21884679,25.27104823,8.94,-27.74,-177.6,20.747923119333333,1991.25,Vulpecula
102395,3.42,311.2398153,-66.20323826,23.71,-42.4,10.57,20.74932102,1991.25,Pavo
102422,3.41,311.32195263,61.83679404,69.73,86.08,817.89,20.754796842,1991.25,Cepheus
102431,4.52,311.33831928,57.58029799,36.87,-62.95,-235.56,20.755887952000002,1991.25,Cepheus
102453,4.22,311.41566302,30.7196568,15.84,-8.01,24.04,20.761044201333334,1991.25,Cygnus
102485,4.13,311.52402547,-25.27051682,68.16,-51.38,-156.66,20.768268364666667,1991.25,Capricornus
102488,2.48,311.55180091,33.96945334,45.26,356.16,330.28,20.770120060666667,1991.25,Cygnus
102532,4.27,311.66465833,16.12477326,32.14,-25.88,-196.27,20.777643888666667,1991.25,Delphinus
102571,4.93,311.79468503,34.37410329,8.18,39.26,8.24,20.78631233533333,1991.25,Cygnus
102589,4.53,311.85219564,36.49073658,3.71,14.93,-8.2,20.790146376,1991.25,Cygnus
102618,3.78,311.91888574,-9.49568988,14.21,31.89,-35.32,20.794592382666668,1991.25,Aquarius
102624,4.43,311.93432462,-5.02760303,7.33,-3.3,-40.24,20.795621641333334,1991.25,Aquarius
102724,4.81,312.23455583,46.11414081,1.45,-2.92,-2.62,20.815637055333333,1991.25,Cygnus
102790,4.9,312.3705384,-46.22689249,8.06,37.85,27.28,20.82470256,1991.25,Indus
102831,4.89,312.49199793,-33.7796732,8.57,3.71,-20.19,20.832799862,1991.25,Microscopium
102978,4.12,312.95540084,-26.91912642,5.19,-7.97,-2.54,20.86369338933333,1991.25,Capricornus
103004,4.56,313.0321898,27.09712771,15.06,-72.33,-60.95,20.868812653333336,1991.25,Vulpecula
103045,4.73,313.16335749,-8.98323782,21.01,47.06,-32.91,20.877557166,1991.25,Aquarius
103089,4.8,313.31143866,44.38726652,6.51,11.27,-2.44,20.887429244,1991.25,Cygnus
103227,3.67,313.70241509,-58.4540947,5.41,21.06,-24.75,20.913494339333333,1991.25,Indus
103413,3.94,314.29338184,41.16719384,9.17,8.51,-23.97,20.952892122666665,1991.25,Cygnus
103632,4.74,314.95645946,47.52094507,2.9,7.25,2.47,20.997097297333333,1991.25,Cygnus
103738,4.67,315.32275695,-32.25776681,14.59,-2.09,-0.19,21.02151713,1991.25,Microscopium
104019,4.82,316.10135259,-19.85493122,20.64,-39.01,-24.45,21.073423505999997,1991.25,Capricornus
104060,3.72,316.23273251,43.92785122,2.77,8.6,0.35,21.082182167333333,1991.25,Cygnus
104139,4.08,316.48658082,-17.23271095,20.61,79.64,-61.64,21.099105387999998,1991.25,Capricornus
104194,4.56,316.65036722,47.64840597,3.32,6.51,-0.99,21.110024481333333,1991.25,Cygnus
104234,4.49,316.78202266,-25.00574796,6.24,-27.19,-43.37,21.118801510666668,1991.25,Capricornus
104459,4.5,317.39830336,-11.37165474,19.93,92.31,-15.76,21.159886890666666,1991.25,Aquarius
104521,4.7,317.58529617,10.13194861,28.38,49.07,-151.85,21.172353078,1991.25,Equuleus
104732,3.21,318.23408977,30.22708128,21.62,6.87,-68.12,21.21560598466667,1991.25,Cygnus
104858,4.47,318.61995883,10.00771855,54.11,42.32,-303.43,21.241330588666663,1991.25,Equuleus
104887,3.74,318.69727757,38.04432043,47.8,195.74,410.02,21.246485171333333,1991.25,Cygnus
104987,3.92,318.95581976,5.2480739,17.51,59.63,-94.33,21.26372131733333,1991.25,Equuleus
105102,4.22,319.35396892,39.39469016,0.72,0.43,-3.61,21.290264594666667,1991.25,Cygnus
105138,4.41,319.47944955,34.8968812,3.62,11.96,6.85,21.29862997,1991.25,Cygnus
105140,4.71,319.48436063,-32.17248551,19.76,55.46,-22.12,21.298957375333334,1991.25,Microscopium
105199,2.45,319.64408982,62.58545529,66.84,149.91,48.27,21.309605987999998,1991.25,Cepheus
105319,4.39,319.96618253,-53.44926434,33.58,107.37,-67.12,21.331078835333336,1991.25,Indus
105382,4.8,320.18993153,-40.80950852,17.49,76.18,17.66,21.345995435333336,1991.25,Microscopium
105502,4.08,320.52139118,19.80435581,21.19,105.94,62.61,21.368092745333335,1991.25,Pegasus
105515,4.28,320.56157261,-16.83455521,15.13,30.83,5.26,21.370771507333334,1991.25,Capricornus
105858,4.21,321.61038385,-65.36814438,108.5,81.08,800.68,21.44069225666667,1991.25,Pavo
105881,3.77,321.66678212,-22.41137838,8.19,-2.61,18.88,21.444452141333333,1991.25,Capricornus
106032,3.23,322.16489595,70.56069481,5.48,12.6,8.73,21.477659730000003,1991.25,Cepheus
106039,4.5,322.18048346,-21.80716659,18.18,133.97,-5.47,21.478698897333334,1991.25,Capricornus
106140,4.52,322.48699859,23.63882922,7.37,24.39,3.52,21.499133239333332,1991.25,Pegasus
106278,2.9,322.88966951,-5.57115593,5.33,22.79,-6.7,21.525977967333333,1991.25,Aquarius
106481,3.98,323.49530361,45.59206564,26.2,-24.48,-93.88,21.566353574,1991.25,Cygnus
106551,4.87,323.69365589,38.53382684,12.76,116.8,93.3,21.579577059333335,1991.25,Cygnus
106723,4.51,324.27009487,-19.46601352,4.92,13.48,0.81,21.618006324666666,1991.25,Capricornus
106786,4.68,324.43767522,-7.85414212,18.26,114.29,-24.44,21.629178348,1991.25,Aquarius
106801,4.76,324.48011167,62.08194667,0.72,-1.9,-2.84,21.632007444666666,1991.25,Cepheus
106985,3.69,325.02225935,-16.66225343,23.48,187.39,-22.33,21.668150623333336,1991.25,Capricornus
107089,3.73,325.36863801,-77.38946215,47.22,64.83,-240.38,21.691242534,1991.25,Octans
107119,4.55,325.47948373,71.31118695,18.55,119.48,94.49,21.69863224866667,1991.25,Cepheus
107136,4.69,325.52358201,51.1896271,1.94,5.25,-2.11,21.701572134,1991.25,Cygnus
107188,4.72,325.66423845,-18.86630105,11.22,145.9,-9.05,21.71094923,1991.25,Capricornus
107259,4.23,325.87689561,58.78005308,0.62,5.24,-2.88,21.725126374000002,1991.25,Cepheus
107310,4.49,326.03501874,28.74322228,44.64,260.33,-242.73,21.735667916,1991.25,Cygnus
107315,2.38,326.04641808,9.87500791,4.85,30.02,1.38,21.736427872,1991.25,Pegasus
107348,4.34,326.12787716,17.35004352,3.62,7.9,-10.75,21.741858477333334,1991.25,Pegasus
107354,4.14,326.16126755,25.64500284,28.34,46.66,13.47,21.744084503333333,1991.25,Pegasus
107380,4.35,326.2366159,-33.02555306,15.93,31.79,-94.0,21.74910772666667,1991.25,Pisces Austrinus
107418,4.25,326.36220534,61.12081043,0.64,-3.08,-1.86,21.757480356,1991.25,Cepheus
107533,4.23,326.69835794,49.3095748,2.82,3.61,-1.86,21.779890529333333,1991.25,Cygnus
107556,2.85,326.75952199,-16.12656595,84.58,263.26,-296.23,21.783968132666665,1991.25,Capricornus
108085,3.0,328.48189202,-37.3648229,16.07,95.88,-12.1,21.898792801333332,1991.25,Grus
108431,4.4,329.47929577,-54.9925666,17.65,43.0,-3.67,21.96528638466667,1991.25,Indus
108870,4.69,330.82266498,-56.77980602,275.76,3959.97,-2538.84,22.054844332000002,1991.25,Indus
108874,4.74,330.82845686,-2.15533588,8.56,24.81,-11.14,22.055230457333334,1991.25,Aquarius
108917,4.26,330.94650782,64.62775425,32.07,214.46,89.29,22.063100521333336,1991.25,Cepheus
109068,4.86,331.4195499,5.05828453,12.38,101.6,101.19,22.09463666,1991.25,Pegasus
109074,2.95,331.44593869,-0.31982656,4.3,17.9,-9.93,22.096395912666665,1991.25,Aquarius
109111,4.47,331.52876518,-39.54304903,13.2,-24.16,-125.17,22.101917678666666,1991.25,Grus
109139,4.29,331.60918894,-13.86954013,18.9,40.45,-57.16,22.10727926266667,1991.25,Aquarius
109176,3.77,331.75197729,25.3450461,85.06,296.73,26.93,22.116798486,1991.25,Pegasus
109268,1.73,332.05781838,-46.96061593,32.16,127.6,-147.91,22.137187892,1991.25,Grus
109285,4.5,332.0956383,-32.98839827,25.01,80.05,-28.88,22.13970922,1991.25,Pisces Austrinus
